[init] provider_model=Qwen/Qwen3-Embedding-8B ann_k=200 top_k=10 ef_search=500
[init] lean_slogan_ids: 337356 rows in 4.1s
[init] mathlib paper_ids: ['37853e96-153b-48d8-a3a4-43e65abe6af4', 'c82bacc0-c373-420c-a8b9-930a2ac2adaa']
[init] populated query cells: 946
[init] corpus coverage: 192/200 (8 missing)
[  10/946] 6.75s  hits=5  elapsed=48s  eta=4475s
[  20/946] 5.37s  hits=6  elapsed=104s  eta=4828s
[  30/946] 9.38s  hits=11  elapsed=144s  eta=4404s
[  40/946] 3.50s  hits=18  elapsed=189s  eta=4276s
[  50/946] 2.28s  hits=22  elapsed=221s  eta=3969s
[  60/946] 1.21s  hits=31  elapsed=257s  eta=3789s
[  70/946] 1.65s  hits=41  elapsed=283s  eta=3547s
[  80/946] 11.34s  hits=48  elapsed=349s  eta=3775s
[  90/946] 5.64s  hits=53  elapsed=402s  eta=3824s
[ 100/946] 3.83s  hits=55  elapsed=441s  eta=3735s
[ 110/946] 1.42s  hits=58  elapsed=485s  eta=3684s
[ 120/946] 10.66s  hits=65  elapsed=525s  eta=3612s
[ 130/946] 3.20s  hits=72  elapsed=568s  eta=3567s
[ 140/946] 2.26s  hits=78  elapsed=593s  eta=3413s
[ 150/946] 1.39s  hits=88  elapsed=614s  eta=3257s
[ 160/946] 2.92s  hits=92  elapsed=666s  eta=3273s
[ 170/946] 1.99s  hits=97  elapsed=705s  eta=3219s
[ 180/946] 15.59s  hits=100  elapsed=777s  eta=3306s
[ 190/946] 7.51s  hits=109  elapsed=812s  eta=3230s
[ 200/946] 12.06s  hits=113  elapsed=927s  eta=3457s
[ 210/946] 8.94s  hits=118  elapsed=981s  eta=3438s
[ 220/946] 13.78s  hits=128  elapsed=1029s  eta=3394s
[ 230/946] 7.52s  hits=135  elapsed=1129s  eta=3514s
[ 240/946] 1.40s  hits=135  elapsed=1165s  eta=3428s
[ 250/946] 6.38s  hits=136  elapsed=1203s  eta=3350s
[ 260/946] 4.51s  hits=140  elapsed=1240s  eta=3273s
[ 270/946] 9.73s  hits=143  elapsed=1277s  eta=3198s
[ 280/946] 2.28s  hits=148  elapsed=1350s  eta=3210s
[ 290/946] 6.33s  hits=154  elapsed=1451s  eta=3282s
[ 300/946] 3.90s  hits=159  elapsed=1523s  eta=3280s
[ 310/946] 11.28s  hits=165  elapsed=1610s  eta=3302s
[ 320/946] 9.64s  hits=169  elapsed=1668s  eta=3263s
[ 330/946] 7.09s  hits=171  elapsed=1710s  eta=3193s
[ 340/946] 1.18s  hits=181  elapsed=1739s  eta=3099s
[ 350/946] 7.93s  hits=190  elapsed=1780s  eta=3032s
[ 360/946] 3.35s  hits=196  elapsed=1829s  eta=2977s
[ 370/946] 4.10s  hits=205  elapsed=1860s  eta=2896s
[ 380/946] 3.21s  hits=214  elapsed=1889s  eta=2814s
[ 390/946] 1.90s  hits=215  elapsed=1954s  eta=2786s
[ 400/946] 5.80s  hits=221  elapsed=2040s  eta=2784s
[ 410/946] 14.20s  hits=229  elapsed=2086s  eta=2727s
[ 420/946] 5.64s  hits=234  elapsed=2177s  eta=2726s
[ 430/946] 14.64s  hits=241  elapsed=2288s  eta=2746s
[ 440/946] 17.36s  hits=245  elapsed=2480s  eta=2851s
[ 450/946] 4.57s  hits=254  elapsed=2588s  eta=2852s
[ 460/946] 13.26s  hits=257  elapsed=2686s  eta=2838s
[ 470/946] 4.28s  hits=262  elapsed=2816s  eta=2852s
[ 480/946] 3.33s  hits=267  elapsed=2910s  eta=2825s
[ 490/946] 6.33s  hits=271  elapsed=2994s  eta=2786s
[ 500/946] 30.51s  hits=276  elapsed=3193s  eta=2849s
[ 510/946] 2.26s  hits=281  elapsed=3340s  eta=2856s
[ 520/946] 9.96s  hits=289  elapsed=3432s  eta=2812s
[ 530/946] 23.39s  hits=298  elapsed=3496s  eta=2744s
[ 540/946] 11.96s  hits=303  elapsed=3586s  eta=2696s
[ 550/946] 8.30s  hits=306  elapsed=3721s  eta=2679s
[ 560/946] 27.96s  hits=313  elapsed=3865s  eta=2664s
[ 570/946] 11.14s  hits=319  elapsed=3944s  eta=2602s
[ 580/946] 16.87s  hits=323  elapsed=4102s  eta=2588s
[ 590/946] 3.27s  hits=332  elapsed=4209s  eta=2539s
[ 600/946] 13.61s  hits=337  elapsed=4356s  eta=2512s
[ 610/946] 6.05s  hits=342  elapsed=4483s  eta=2469s
[ 620/946] 5.04s  hits=347  elapsed=4626s  eta=2433s
[ 630/946] 7.88s  hits=355  elapsed=4698s  eta=2357s
[ 640/946] 5.25s  hits=365  elapsed=4769s  eta=2280s
[ 650/946] 5.49s  hits=366  elapsed=4896s  eta=2229s
[ 660/946] 16.72s  hits=371  elapsed=5029s  eta=2179s
[ 670/946] 11.82s  hits=377  elapsed=5128s  eta=2113s
[ 680/946] 5.83s  hits=381  elapsed=5218s  eta=2041s
[ 690/946] 22.84s  hits=383  elapsed=5317s  eta=1973s
[ 700/946] 10.28s  hits=385  elapsed=5422s  eta=1905s
[ 710/946] 23.48s  hits=395  elapsed=5539s  eta=1841s
[ 720/946] 17.59s  hits=400  elapsed=5642s  eta=1771s
[ 730/946] 3.52s  hits=405  elapsed=5733s  eta=1696s
