"query_statement_id","candidate_statement_id","q_paper_id","q_paper","q_decl_name","q_module","c_paper_id","c_paper","c_decl_name","c_module","similarity"
"9be07f89-69eb-48b0-9488-f415239b16f5","464977e6-91a0-4c12-931d-75c4f6c4d068","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","NNReal.coe_comp_dconv","AddCombi.Convolution.Finite.Defs","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","NNReal.coe_comp_cdconv","APAP.Prereqs.Convolution.Compact","0.9989644289016724"
"464977e6-91a0-4c12-931d-75c4f6c4d068","9be07f89-69eb-48b0-9488-f415239b16f5","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","NNReal.coe_comp_cdconv","APAP.Prereqs.Convolution.Compact","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","NNReal.coe_comp_dconv","AddCombi.Convolution.Finite.Defs","0.9989644289016724"
"5892b8f1-c94b-4ba4-9b24-556f2bdc9e24","9be07f89-69eb-48b0-9488-f415239b16f5","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","NNReal.coe_cconv","APAP.Prereqs.Convolution.Compact","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","NNReal.coe_comp_dconv","AddCombi.Convolution.Finite.Defs","0.9987999200820923"
"3081a5b0-7fc7-4dd2-9009-dfda57133fba","2e6bbb28-495b-472d-8ae1-c7b92e9282c0","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","MagicFunction.a.IntegralEstimates.I₆.g_norm_bound_uniform","SpherePacking.Dim8.MagicFunction.a.IntegralEstimates.I6","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.IntegralEstimates.I₆.I₆'_bounding_aux_2","SpherePacking.MagicFunction.a.IntegralEstimates.I6","0.9883310198783875"
"2e6bbb28-495b-472d-8ae1-c7b92e9282c0","3081a5b0-7fc7-4dd2-9009-dfda57133fba","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.IntegralEstimates.I₆.I₆'_bounding_aux_2","SpherePacking.MagicFunction.a.IntegralEstimates.I6","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","MagicFunction.a.IntegralEstimates.I₆.g_norm_bound_uniform","SpherePacking.Dim8.MagicFunction.a.IntegralEstimates.I6","0.9883310198783875"
"92f15f4b-b14e-4307-aa2f-f971860c5e7f","f472b530-5deb-4aa8-b271-6c3a24526c49","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.ComplexIntegrands.Φ₄'_contDiffOn_ℂ","SpherePacking.MagicFunction.a.Integrability.ComplexIntegrands","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","MagicFunction.a.ComplexIntegrands.Φ₄'_contDiffOn","SpherePacking.MagicFunction.a.Integrability.ComplexIntegrands","0.9881919026374817"
"f472b530-5deb-4aa8-b271-6c3a24526c49","92f15f4b-b14e-4307-aa2f-f971860c5e7f","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","MagicFunction.a.ComplexIntegrands.Φ₄'_contDiffOn","SpherePacking.MagicFunction.a.Integrability.ComplexIntegrands","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.ComplexIntegrands.Φ₄'_contDiffOn_ℂ","SpherePacking.MagicFunction.a.Integrability.ComplexIntegrands","0.9881919026374817"
"e80e64c9-5b89-4bb9-9c65-b9fe3d90bd51","b8864523-0a76-41a5-9246-cb1e32876936","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","neg_cdconv","APAP.Prereqs.Convolution.Compact","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","neg_conv","AddCombi.Convolution.Finite.Defs","0.9866930842399597"
"b8864523-0a76-41a5-9246-cb1e32876936","e80e64c9-5b89-4bb9-9c65-b9fe3d90bd51","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","neg_conv","AddCombi.Convolution.Finite.Defs","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","neg_cdconv","APAP.Prereqs.Convolution.Compact","0.9866930842399597"
"eeda36f8-74bc-4b7b-a9c4-0eec40c91a96","b1b1eb30-c100-4ee2-9c81-7e55541f766b","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.IntegralEstimates.I₂.I₂'_bounding_aux_3","SpherePacking.MagicFunction.a.IntegralEstimates.I2","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","MagicFunction.a.IntegralEstimates.I₂.g_norm_bound_uniform","SpherePacking.Dim8.MagicFunction.a.IntegralEstimates.I2","0.9849377870559692"
"b1b1eb30-c100-4ee2-9c81-7e55541f766b","eeda36f8-74bc-4b7b-a9c4-0eec40c91a96","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","MagicFunction.a.IntegralEstimates.I₂.g_norm_bound_uniform","SpherePacking.Dim8.MagicFunction.a.IntegralEstimates.I2","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.IntegralEstimates.I₂.I₂'_bounding_aux_3","SpherePacking.MagicFunction.a.IntegralEstimates.I2","0.9849377870559692"
"08827559-f258-4801-97f7-58851306dea3","55be768d-2276-4e9c-b4a9-9ac2e2790bb6","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","cconv_eq_expect_add","APAP.Prereqs.Convolution.Compact","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","conv_eq_expect_sub'","AddCombi.Convolution.Finite.Defs","0.9847740530967712"
"55be768d-2276-4e9c-b4a9-9ac2e2790bb6","08827559-f258-4801-97f7-58851306dea3","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","conv_eq_expect_sub'","AddCombi.Convolution.Finite.Defs","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","cconv_eq_expect_add","APAP.Prereqs.Convolution.Compact","0.9847740530967712"
"73b93899-dac0-4318-92ee-9f390314066e","f1426ff9-14cb-4393-b06c-4d4bcdae6ae6","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","const_cconv","APAP.Prereqs.Convolution.Compact","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","const_conv","AddCombi.Convolution.Finite.Defs","0.984222412109375"
"f1426ff9-14cb-4393-b06c-4d4bcdae6ae6","73b93899-dac0-4318-92ee-9f390314066e","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","const_conv","AddCombi.Convolution.Finite.Defs","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","const_cconv","APAP.Prereqs.Convolution.Compact","0.984222412109375"
"8d3b1b97-9442-485e-a652-303b30d8dab3","554c3297-e460-4a18-b7d7-212b787d0b71","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","sum_int_pnatt","SpherePacking.ModularForms.summable_lems","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","sum_int_pnat2_pnat","SpherePacking.ModularForms.summable_lems","0.9823441505432129"
"554c3297-e460-4a18-b7d7-212b787d0b71","8d3b1b97-9442-485e-a652-303b30d8dab3","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","sum_int_pnat2_pnat","SpherePacking.ModularForms.summable_lems","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","sum_int_pnatt","SpherePacking.ModularForms.summable_lems","0.9823441505432129"
"28282914-3e8d-4674-9367-8a5e800f004a","9ce9e82e-4093-4692-861a-25a19b005462","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","MagicFunction.a.IntegralEstimates.I₃.I₃'_bounding_aux_1","SpherePacking.MagicFunction.a.IntegralEstimates.I3","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.IntegralEstimates.I₅.I₅'_bounding_aux_1","SpherePacking.MagicFunction.a.IntegralEstimates.I5","0.981878936290741"
"9ce9e82e-4093-4692-861a-25a19b005462","28282914-3e8d-4674-9367-8a5e800f004a","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.IntegralEstimates.I₅.I₅'_bounding_aux_1","SpherePacking.MagicFunction.a.IntegralEstimates.I5","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","MagicFunction.a.IntegralEstimates.I₃.I₃'_bounding_aux_1","SpherePacking.MagicFunction.a.IntegralEstimates.I3","0.981878936290741"
"e9a28787-5fc2-4a3b-9c96-7083eb543c59","8d3b1b97-9442-485e-a652-303b30d8dab3","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","sum_int_pnat3","SpherePacking.ModularForms.summable_lems","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","sum_int_pnatt","SpherePacking.ModularForms.summable_lems","0.9810640811920166"
"a6babd03-505a-452b-9df2-9041c0143573","dae185f5-5b07-494e-ab12-8823869e2dc7","5264c696-d57b-444f-b003-d37c410acd01","PrimeNumberTheoremAnd","PrimeCert.prime_13","PrimeCert.SmallPrimes","33156af5-a867-45ed-8058-6111475f19f8","flt-regular","Nat.prime_thirteen","FltRegular.SmallNumbers.Thirteen.Thirteen","0.9804049134254456"
"dae185f5-5b07-494e-ab12-8823869e2dc7","a6babd03-505a-452b-9df2-9041c0143573","33156af5-a867-45ed-8058-6111475f19f8","flt-regular","Nat.prime_thirteen","FltRegular.SmallNumbers.Thirteen.Thirteen","5264c696-d57b-444f-b003-d37c410acd01","PrimeNumberTheoremAnd","PrimeCert.prime_13","PrimeCert.SmallPrimes","0.9804049134254456"
"b5911db3-4245-4588-9e1e-51096a1bceb7","b1b1eb30-c100-4ee2-9c81-7e55541f766b","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.IntegralEstimates.I₄.I₄'_bounding_aux_3","SpherePacking.MagicFunction.a.IntegralEstimates.I4","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","MagicFunction.a.IntegralEstimates.I₂.g_norm_bound_uniform","SpherePacking.Dim8.MagicFunction.a.IntegralEstimates.I2","0.9803772568702698"
"956c2273-1b85-426e-8873-c819a015efbb","4825f0da-66bb-44b2-9bc5-27addc94c568","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","tendsto_resToImagAxis_of_tendsto_atImInfty","SpherePacking.ModularForms.ResToImagAxis","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","Function.tendsto_resToImagAxis_atImInfty","SpherePacking.ModularForms.ResToImagAxis","0.9798998236656189"
"4825f0da-66bb-44b2-9bc5-27addc94c568","956c2273-1b85-426e-8873-c819a015efbb","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","Function.tendsto_resToImagAxis_atImInfty","SpherePacking.ModularForms.ResToImagAxis","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","tendsto_resToImagAxis_of_tendsto_atImInfty","SpherePacking.ModularForms.ResToImagAxis","0.9798998236656189"
"9c140f69-12f8-4f43-a4d3-0bd9366d891c","e80e64c9-5b89-4bb9-9c65-b9fe3d90bd51","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","neg_dconv","AddCombi.Convolution.Finite.Defs","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","neg_cdconv","APAP.Prereqs.Convolution.Compact","0.9792582392692566"
"77a29c0d-e3e5-4885-9934-8c3616640a1f","28282914-3e8d-4674-9367-8a5e800f004a","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.IntegralEstimates.I₁.I₁'_bounding_aux_1","SpherePacking.MagicFunction.a.IntegralEstimates.I1","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","MagicFunction.a.IntegralEstimates.I₃.I₃'_bounding_aux_1","SpherePacking.MagicFunction.a.IntegralEstimates.I3","0.9785903096199036"
"f29819be-ddbe-4a85-8d87-1372b09c977d","98a4cbe4-304f-454c-9038-00ce637af8b8","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","cconv_conjneg","APAP.Prereqs.Convolution.Compact","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","conv_conjneg","AddCombi.Convolution.Finite.Defs","0.9759716987609863"
"98a4cbe4-304f-454c-9038-00ce637af8b8","f29819be-ddbe-4a85-8d87-1372b09c977d","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","conv_conjneg","AddCombi.Convolution.Finite.Defs","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","cconv_conjneg","APAP.Prereqs.Convolution.Compact","0.9759716987609863"
"393315c5-93ac-45ff-ad32-4d327a719723","dcd1aaef-b2f3-4035-92ba-0b65e6a64131","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","MagicFunction.a.ComplexIntegrands.φ₀''_holo","SpherePacking.MagicFunction.a.Integrability.ComplexIntegrands","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.ComplexIntegrands.φ₀''_differentiable","SpherePacking.MagicFunction.a.Integrability.ComplexIntegrands","0.9747447371482849"
"dcd1aaef-b2f3-4035-92ba-0b65e6a64131","393315c5-93ac-45ff-ad32-4d327a719723","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.ComplexIntegrands.φ₀''_differentiable","SpherePacking.MagicFunction.a.Integrability.ComplexIntegrands","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","MagicFunction.a.ComplexIntegrands.φ₀''_holo","SpherePacking.MagicFunction.a.Integrability.ComplexIntegrands","0.9747447371482849"
"7dbc0023-eee1-4c0d-9e76-203d218d09e3","55be768d-2276-4e9c-b4a9-9ac2e2790bb6","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","cconv_eq_expect_sub","APAP.Prereqs.Convolution.Compact","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","conv_eq_expect_sub'","AddCombi.Convolution.Finite.Defs","0.9741368293762207"
"718a37f7-63e5-4a7e-81b3-8da4f8e02a3d","b63f620e-45b7-464b-88b0-4db7e4267ff0","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.IntegralEstimates.I₅.Bound_integrableOn","SpherePacking.MagicFunction.a.IntegralEstimates.I5","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","MagicFunction.a.IntegralEstimates.I₃.Bound_integrableOn","SpherePacking.MagicFunction.a.IntegralEstimates.I3","0.9727381467819214"
"b63f620e-45b7-464b-88b0-4db7e4267ff0","718a37f7-63e5-4a7e-81b3-8da4f8e02a3d","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","MagicFunction.a.IntegralEstimates.I₃.Bound_integrableOn","SpherePacking.MagicFunction.a.IntegralEstimates.I3","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.IntegralEstimates.I₅.Bound_integrableOn","SpherePacking.MagicFunction.a.IntegralEstimates.I5","0.9727381467819214"
"14b463fb-1fb5-49d8-ab87-5070a0f64b0d","f1426ff9-14cb-4393-b06c-4d4bcdae6ae6","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","cconv_const","APAP.Prereqs.Convolution.Compact","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","const_conv","AddCombi.Convolution.Finite.Defs","0.9721717834472656"
"dcccdd97-1146-40ca-9b2d-b6a95460dd08","14b463fb-1fb5-49d8-ab87-5070a0f64b0d","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","conv_const","AddCombi.Convolution.Finite.Defs","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","cconv_const","APAP.Prereqs.Convolution.Compact","0.9717854261398315"
"3d5fac34-9c16-46bc-b6d4-4adb36e34f56","9f05c432-9374-4d8c-a818-673e07b555bb","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","Complex.ofReal_comp_conv","AddCombi.Convolution.Finite.Defs","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","Complex.coe_cconv","APAP.Prereqs.Convolution.Compact","0.9715225100517273"
"9f05c432-9374-4d8c-a818-673e07b555bb","3d5fac34-9c16-46bc-b6d4-4adb36e34f56","a4a171b9-4640-45ac-a868-022cca1a90b6","apap","Complex.coe_cconv","APAP.Prereqs.Convolution.Compact","aa760b0f-11f1-4b5d-b50b-522e82b357df","add-combi","Complex.ofReal_comp_conv","AddCombi.Convolution.Finite.Defs","0.9715225100517273"
"03c7ad5f-897c-4e99-a5b9-1d7dc8afa2ae","5d1bde51-a083-4752-8307-eaaf752970f4","288cd1da-1ba3-41d4-a6e4-897277d28a20","Sphere-Packing-Lean","MagicFunction.a.SchwartzProperties.I₄'_decay'","SpherePacking.MagicFunction.a.Schwartz","315f867e-8257-4a45-bc1b-e9de06636035","sphere-packing-math-inc","SpherePacking.Dim24.Schwartz.I4Smooth.decay_I₄'","SpherePacking.Dim24.MagicFunction.A.DefsAux.Schwartz.I4Smooth","0.9715108275413513"
